,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO,data_registro,ID_CONTROLE
915.0,CVLI,Homicídio,23/05/2012,22:30,Coruripe,Centro,Masculino,Parda,15.0,PAF,Via Pública,2012-05-23 22:30:00,
916.0,CVLI,Homicídio,23/05/2012,22:30,Maceió,Guaxuma,Masculino,NI,24.0,PAF,Dentro de Casa,2012-05-23 22:30:00,
917.0,CVLI,Homicídio,24/05/2012,19:00,Marechal Deodoro,Centro,Feminino,Parda,34.0,PAF,Dentro de Casa,2012-05-24 19:00:00,
954.0,CVLI,Homicídio,25/05/2012,06:00,Maceió,Santos Dumont,Masculino,Parda,30.0,ESPANCAMENTO,Via Pública,2012-05-25 06:00:00,
955.0,CVLI,Homicídio,13/05/2012,00:15,Anadia,Zona Rural,Masculino,Parda,31.0,BRANCA,Dentro de Casa,2012-05-13 00:15:00,
956.0,CVLI,Homicídio,25/05/2012,15:00,Maceió,Jacintinho,Masculino,Parda,14.0,PAF,Bar,2012-05-25 15:00:00,
957.0,CVLI,Roubo com Resultado Morte,26/05/2012,16:50,Maceió,Jatiúca,Masculino,Branca,66.0,PAF,Via Pública,2012-05-26 16:50:00,
958.0,CVLI,Homicídio,26/05/2012,19:20,Maceió,Santos Dumont,Feminino,Parda,29.0,PAF,Via Pública,2012-05-26 19:20:00,
959.0,CVLI,Homicídio,27/05/2012,08:00,Maceió,Poço,Masculino,NI,42.0,PAF,Interior de Veículo,2012-05-27 08:00:00,
960.0,CVLI,Homicídio,26/05/2012,22:00,União dos Palmares,Centro,Masculino,Parda,20.0,PAF,Via Pública,2012-05-26 22:00:00,
961.0,CVLI,Homicídio,26/05/2012,22:00,União dos Palmares,Centro,Masculino,Parda,21.0,PAF,Via Pública,2012-05-26 22:00:00,
962.0,CVLI,Homicídio,27/05/2012,07:30,Maceió,Santos Dumont,Masculino,NI,,BRANCA,Terreno Baldio,2012-05-27 07:30:00,
963.0,CVLI,Homicídio,27/05/2012,17:00,Maceió,Jacintinho,Masculino,NI,18.0,PAF,Via Pública,2012-05-27 17:00:00,
964.0,CVLI,Homicídio,27/05/2012,20:30,Maceió,Trapiche da Barra,Masculino,Parda,18.0,PAF,Porta de Casa,2012-05-27 20:30:00,
966.0,CVLI,Homicídio,27/05/2012,23:55,Lagoa da Canoa,Zona Rural,Masculino,NI,18.0,PAF,Via Pública,2012-05-27 23:55:00,
9887.0,CVLI,Homicídio,02/09/2014,22:00,Maceió,Benedito Bentes,Masculino,Parda,26.0,PAF,Dentro de Casa,2014-09-02 22:00:00,
968.0,CVLI,Homicídio,25/05/2012,17:40,Pilar,Chã do Pilar,Masculino,Parda,35.0,PAF,Bar,2012-05-25 17:40:00,
969.0,CVLI,Homicídio,25/05/2012,07:30,Satuba,Zona Rural,Masculino,Parda,22.0,PAF,Vegetação,2012-05-25 07:30:00,
31154.0,CVLI,Homicídio,02/09/2019,13:58,Maceió,Vergel do Lago,Feminino,Parda,32.0,PAF,Imediações de Casa,2019-09-02 13:58:00,
971.0,CVLI,Roubo com Resultado Morte,25/05/2012,23:45,Maceió,Jacarecica,Feminino,Branca,16.0,PAF,Interior de Veículo,2012-05-25 23:45:00,
972.0,CVLI,Roubo com Resultado Morte,25/05/2012,23:45,Maceió,Jacarecica,Masculino,Preta,34.0,PAF,Interior de Veículo,2012-05-25 23:45:00,
973.0,CVLI,Homicídio,26/05/2012,09:00,São Sebastião,Centro,Masculino,Parda,28.0,PAF,Terreno Baldio,2012-05-26 09:00:00,
974.0,CVLI,Homicídio,26/05/2012,09:00,São Sebastião,Centro,Masculino,NI,37.0,PAF,Terreno Baldio,2012-05-26 09:00:00,
975.0,CVLI,Homicídio,01/06/2012,05:00,Piranhas,Zona Rural,Masculino,Parda,43.0,PAF/B,Via Pública,2012-06-01 05:00:00,
977.0,CVLI,Homicídio,03/06/2012,18:30,Maceió,Feitosa,Masculino,NI,24.0,PAF,Via Pública,2012-06-03 18:30:00,
978.0,CVLI,Homicídio,03/06/2012,16:30,Maceió,Bebedouro,Masculino,Parda,32.0,PAF,Bar,2012-06-03 16:30:00,
979.0,CVLI,Homicídio,02/06/2012,19:50,Palmeira dos Índios,Vila Nova,Masculino,Parda,18.0,BRANCA,Via Pública,2012-06-02 19:50:00,
980.0,CVLI,Homicídio,03/06/2012,00:10,Arapiraca,Planalto,Masculino,Parda,20.0,PAF,Via Pública,2012-06-03 00:10:00,
981.0,CVLI,Homicídio,04/06/2012,01:30,Pilar,Chã do Pilar,Masculino,Parda,40.0,PAF,Local de Trabalho,2012-06-04 01:30:00,
982.0,CVLI,Homicídio,03/06/2012,10:00,Marechal Deodoro,Zona Rural,Masculino,Parda,25.0,ESPANCAMENTO,Via Pública,2012-06-03 10:00:00,
983.0,CVLI,Homicídio,31/05/2012,11:00,Santana do Ipanema,Centro,Feminino,Parda,24.0,BRANCA,Dentro de Casa,2012-05-31 11:00:00,
984.0,CVLI,Homicídio,02/06/2012,12:00,Piranhas,Zona Rural,Masculino,Parda,48.0,PAF,Próximo de Casa,2012-06-02 12:00:00,
985.0,CVLI,Homicídio,03/06/2012,22:00,Palmeira dos Índios,Ribeira,Masculino,Parda,20.0,PAF,Via Pública,2012-06-03 22:00:00,
986.0,CVLI,Homicídio,03/06/2012,23:45,Maceió,Garça Torta,Masculino,Parda,28.0,PAF,Via Pública,2012-06-03 23:45:00,
987.0,CVLI,Homicídio,26/05/2012,21:30,Maceió,Ponta Grossa,Masculino,NI,18.0,PAF,Via Pública,2012-05-26 21:30:00,
1000.0,CVLI,Homicídio,03/06/2012,23:00,Maceió,Jacintinho,Masculino,Parda,30.0,PAF,Via Pública,2012-06-03 23:00:00,
1001.0,CVLI,Homicídio,04/06/2012,01:00,Maceió,Trapiche da Barra,Masculino,Parda,16.0,PAF,Via Pública,2012-06-04 01:00:00,
1002.0,CVLI,Homicídio,03/06/2012,21:20,União dos Palmares,Zona Rural,Masculino,Preta,26.0,PAF,Via Pública,2012-06-03 21:20:00,
1005.0,CVLI,Homicídio,03/06/2012,00:00,Olho d Água das Flores,Zona Rural,Masculino,Parda,23.0,PAF,Via Pública,2012-06-03 00:00:00,
1006.0,CVLI,Homicídio,01/06/2012,23:00,Porto Calvo,Centro,Masculino,Parda,23.0,PAF,Dentro de Casa,2012-06-01 23:00:00,
1007.0,CVLI,Homicídio,01/06/2012,23:00,Porto Calvo,Centro,Masculino,Parda,16.0,PAF,Dentro de Casa,2012-06-01 23:00:00,
1008.0,CVLI,Homicídio,02/06/2012,04:30,Maceió,Cidade Universitária,Masculino,Branca,34.0,PAF,Via Pública,2012-06-02 04:30:00,
1009.0,CVLI,Roubo com Resultado Morte,02/06/2012,08:00,Maceió,Jacintinho,Masculino,Parda,55.0,ASFIXIA MECÂNICA,Local de Trabalho,2012-06-02 08:00:00,
1010.0,CVLI,Homicídio,02/06/2012,16:30,Maceió,Tabuleiro do Martins,Masculino,Parda,21.0,PAF,Próximo de Casa,2012-06-02 16:30:00,
1011.0,CVLI,Homicídio,02/06/2012,19:40,Maceió,Santos Dumont,Masculino,Parda,14.0,PAF,Via Pública,2012-06-02 19:40:00,
1012.0,CVLI,Homicídio,02/06/2012,19:40,Maceió,Santos Dumont,Masculino,Parda,18.0,PAF,Via Pública,2012-06-02 19:40:00,
1013.0,CVLI,Homicídio,02/06/2012,08:00,Pilar,Chã do Pilar,Masculino,NI,20.0,BRANCA,Dentro de Casa,2012-06-02 08:00:00,
1014.0,CVLI,Homicídio,01/06/2012,18:00,Pilar,Chã do Pilar,Masculino,Parda,12.0,ESPANCAMENTO,Vegetação,2012-06-01 18:00:00,
1015.0,CVLI,Homicídio,03/06/2012,14:40,Pilar,Chã do Pilar,Masculino,Parda,22.0,PAF,Via Pública,2012-06-03 14:40:00,
1016.0,CVLI,Homicídio,03/06/2012,03:00,Anadia,Zona Rural,Feminino,Parda,29.0,PAF,Via Pública,2012-06-03 03:00:00,
31165.0,CVLI,Homicídio,02/09/2019,21:30,Maceió,Vergel do Lago,Masculino,Preta,51.0,PAF,Próximo de Casa,2019-09-02 21:30:00,
1018.0,CVLI,Homicídio,04/06/2012,10:10,Marechal Deodoro,Zona Rural,Masculino,Parda,42.0,PAF,Via Pública,2012-06-04 10:10:00,
1019.0,CVLI,Homicídio,04/06/2012,12:00,Matriz de Camaragibe,Centro,Masculino,Parda,22.0,PAF,Próximo de Casa,2012-06-04 12:00:00,
1020.0,CVLI,Homicídio,04/06/2012,19:00,Coruripe,Centro,Masculino,Parda,18.0,PAF,Via Pública,2012-06-04 19:00:00,
1027.0,CVLI,Homicídio,09/06/2012,22:30,Joaquim Gomes,Zona Rural,Masculino,Parda,36.0,PAF,Próximo de Casa,2012-06-09 22:30:00,
1028.0,CVLI,Homicídio,10/06/2012,02:10,São Luís do Quitunde,Centro,Masculino,Parda,29.0,PAF,Via Pública,2012-06-10 02:10:00,
1029.0,CVLI,Homicídio,09/06/2012,21:30,Delmiro Gouveia,Centro,Masculino,Parda,46.0,PAF,Via Pública,2012-06-09 21:30:00,
1030.0,CVLI,Homicídio,10/06/2012,14:40,Maceió,Cidade Universitária,Masculino,Parda,21.0,PAF,Via Pública,2012-06-10 14:40:00,
1031.0,CVLI,Homicídio,10/06/2012,16:20,Atalaia,Zona Rural,Masculino,Parda,35.0,PAF,Via Pública,2012-06-10 16:20:00,
1032.0,CVLI,Lesão Corporal Seguida de Morte,19/02/2012,01:45,Penedo,Zona Rural,Masculino,NI,24.0,BRANCA,Via Pública,2012-02-19 01:45:00,
1033.0,CVLI,Homicídio,20/02/2012,18:10,Palmeira dos Índios,Vila Maria,Masculino,Parda,33.0,PAF,Porta de Casa,2012-02-20 18:10:00,
1034.0,CVLI,Homicídio,12/02/2012,22:00,Maceió,Clima Bom,Masculino,NI,25.0,PAF,Via Pública,2012-02-12 22:00:00,
1035.0,CVLI,Homicídio,12/02/2012,20:20,Olho d Água Grande,Zona Rural,Masculino,Parda,43.0,BRANCA,Via Pública,2012-02-12 20:20:00,
1037.0,CVLI,Homicídio,08/06/2012,12:50,Maragogi,Zona Rural,Masculino,Parda,19.0,PAF,Vegetação,2012-06-08 12:50:00,
1038.0,CVLI,Homicídio,08/06/2012,12:50,Maragogi,Zona Rural,Masculino,Parda,27.0,PAF,Vegetação,2012-06-08 12:50:00,
1039.0,CVLI,Homicídio,08/06/2012,17:50,Maceió,Cidade Universitária,Masculino,NI,36.0,PAF,Porta de Casa,2012-06-08 17:50:00,
1040.0,CVLI,Homicídio,08/06/2012,10:30,Maceió,Jacintinho,Masculino,Parda,20.0,PAF,Via Pública,2012-06-08 10:30:00,
1041.0,CVLI,Homicídio,09/06/2012,12:10,Maceió,Jacintinho,Masculino,Parda,11.0,PAF,Via Pública,2012-06-09 12:10:00,
1042.0,CVLI,Homicídio,09/06/2012,02:00,Barra de Santo Antônio,Centro,Masculino,Parda,46.0,ESPANCAMENTO,Via Pública,2012-06-09 02:00:00,
1044.0,CVLI,Homicídio,09/06/2012,00:00,Maragogi,Centro,Masculino,Parda,36.0,PAF,,2012-06-09 00:00:00,
1046.0,CVLI,Homicídio,09/06/2012,20:00,Joaquim Gomes,Zona Rural,Masculino,Parda,44.0,PAF,Via Pública,2012-06-09 20:00:00,
1047.0,CVLI,Homicídio,09/06/2012,22:20,Maceió,Cidade Universitária,Masculino,Parda,16.0,PAF,Próximo de Casa,2012-06-09 22:20:00,
1048.0,CVLI,Roubo com Resultado Morte,21/02/2012,21:30,Anadia,Centro,Masculino,Parda,71.0,BRANCA,Dentro de Casa,2012-02-21 21:30:00,
1049.0,CVLI,Homicídio,10/06/2012,20:30,Marechal Deodoro,Centro,Masculino,Parda,34.0,PAF,Próximo de Casa,2012-06-10 20:30:00,
1050.0,CVLI,Homicídio,11/06/2012,00:40,Maceió,Pajuçara,Masculino,Parda,17.0,PAF,Via Pública,2012-06-11 00:40:00,
1057.0,CVLI,Lesão Corporal Seguida de Morte,14/02/2012,09:30,Murici,Centro,Masculino,Parda,21.0,BRANCA,Via Pública,2012-02-14 09:30:00,
1058.0,CVLI,Roubo com Resultado Morte,16/02/2012,18:00,Ibateguara,Zona Rural,Masculino,Branca,48.0,PAF,Dentro de Casa,2012-02-16 18:00:00,
1059.0,CVLI,Homicídio,17/02/2012,16:10,São José da Laje,Centro,Masculino,Parda,21.0,PAF,Bar,2012-02-17 16:10:00,
1060.0,CVLI,Homicídio,18/02/2012,14:30,Maceió,Trapiche da Barra,Masculino,Parda,21.0,PAF,Via Pública,2012-02-18 14:30:00,
1061.0,CVLI,Homicídio,19/02/2012,04:00,Coruripe,Zona Rural,Masculino,NI,,ESPANCAMENTO,,2012-02-19 04:00:00,
1063.0,CVLI,Homicídio,22/02/2012,01:00,São Luís do Quitunde,Centro,Masculino,NI,30.0,BRANCA,Via Pública,2012-02-22 01:00:00,
1064.0,CVLI,Homicídio,22/02/2012,07:20,Olho d Água das Flores,Centro,Masculino,Parda,22.0,PAF,Via Pública,2012-02-22 07:20:00,
1065.0,CVLI,Homicídio,22/02/2012,10:00,Joaquim Gomes,Zona Rural,Masculino,Parda,19.0,PAF,Plantação,2012-02-22 10:00:00,
1066.0,CVLI,Homicídio,04/06/2012,07:00,Coruripe,Zona Rural,Masculino,Parda,55.0,PAF,Via Pública,2012-06-04 07:00:00,
1067.0,CVLI,Roubo com Resultado Morte,08/02/2012,22:00,Colônia Leopoldina,Centro,Masculino,Parda,67.0,BRANCA,Dentro de Casa,2012-02-08 22:00:00,
1068.0,CVLI,Homicídio,05/06/2012,11:00,Pilar,Zona Rural,Masculino,Parda,38.0,PAF,Vegetação,2012-06-05 11:00:00,
1069.0,CVLI,Homicídio,05/06/2012,20:30,Maceió,São Jorge,Masculino,Parda,25.0,PAF,Via Pública,2012-06-05 20:30:00,
1072.0,CVLI,Homicídio,05/06/2012,22:30,Viçosa,Zona Rural,Masculino,Parda,14.0,PAF,Via Pública,2012-06-05 22:30:00,
1074.0,CVLI,Homicídio,06/06/2012,00:00,Maceió,Trapiche da Barra,Masculino,Parda,45.0,PAF,HGE,2012-06-06 00:00:00,
1076.0,CVLI,Homicídio,06/06/2012,14:00,Rio Largo,Zona Rural,Feminino,Parda,26.0,ASFIXIA MECÂNICA,Vegetação,2012-06-06 14:00:00,
1078.0,CVLI,Homicídio,11/02/2012,10:00,São Miguel dos Campos,Centro,Masculino,Parda,25.0,PAF,Via Pública,2012-02-11 10:00:00,
1079.0,CVLI,Homicídio,12/02/2012,03:00,São José da Tapera,Zona Rural,Masculino,NI,26.0,BRANCA,Via Pública,2012-02-12 03:00:00,
1080.0,CVLI,Homicídio,13/02/2012,04:30,Coruripe,Zona Rural,Masculino,Parda,16.0,PAF,Via Pública,2012-02-13 04:30:00,
1081.0,CVLI,Homicídio,06/06/2012,05:30,Maceió,Tabuleiro do Martins,Masculino,Parda,17.0,PAF,Próximo de Casa,2012-06-06 05:30:00,
1083.0,CVLI,Homicídio,17/02/2012,18:00,Piaçabuçu,Centro,Masculino,Parda,32.0,BRANCA,Próximo de Casa,2012-02-17 18:00:00,
1084.0,CVLI,Homicídio,18/02/2012,01:00,Campo Alegre,Zona Rural,Masculino,Parda,24.0,PAF,Via Pública,2012-02-18 01:00:00,
1085.0,CVLI,Homicídio,18/02/2012,20:00,Craíbas,Zona Rural,Masculino,Branca,20.0,PAF,Próximo de Casa,2012-02-18 20:00:00,
1087.0,CVLI,Homicídio,03/02/2012,11:15,Ibateguara,Centro,Feminino,Parda,21.0,BRANCA,Dentro de Casa,2012-02-03 11:15:00,
1088.0,CVLI,Homicídio,03/02/2012,16:30,Mata Grande,Zona Rural,Masculino,Parda,,PAF,Via Pública,2012-02-03 16:30:00,
1089.0,CVLI,Homicídio,05/02/2012,05:15,Coruripe,Centro,Masculino,Parda,69.0,PAF,Dentro de Casa,2012-02-05 05:15:00,
1090.0,CVLI,Homicídio,06/06/2012,06:00,Maragogi,Zona Rural,Masculino,Parda,29.0,ESPANCAMENTO,Via Pública,2012-06-06 06:00:00,
1091.0,CVLI,Homicídio,06/06/2012,12:00,Maceió,Jacintinho,Masculino,Parda,20.0,PAF,Via Pública,2012-06-06 12:00:00,
1092.0,CVLI,Homicídio,06/06/2012,17:20,Campo Alegre,Centro,Masculino,Parda,44.0,PAF,Porta de Casa,2012-06-06 17:20:00,
1093.0,CVLI,Homicídio,06/06/2012,21:00,Taquarana,Zona Rural,Masculino,Parda,18.0,PAF,Via Pública,2012-06-06 21:00:00,
1094.0,CVLI,Homicídio,07/06/2012,03:50,Maceió,Jaraguá,Feminino,Parda,22.0,PAF,Via Pública,2012-06-07 03:50:00,
1095.0,CVLI,Homicídio,07/06/2012,03:00,Joaquim Gomes,Centro,Masculino,NI,21.0,PAF,Vegetação,2012-06-07 03:00:00,
1097.0,CVLI,Homicídio,08/06/2012,00:20,Coruripe,Centro,Masculino,Parda,31.0,PAF,Via Pública,2012-06-08 00:20:00,
1098.0,CVLI,Roubo com Resultado Morte,17/02/2012,05:00,Santana do Mundaú,Centro,Masculino,Parda,56.0,ESPANCAMENTO,Via Pública,2012-02-17 05:00:00,
1101.0,CVLI,Homicídio,24/02/2012,21:00,Maceió,Centro,Masculino,Parda,19.0,PAF,Via Pública,2012-02-24 21:00:00,
1102.0,CVLI,Homicídio,11/06/2012,01:00,Maceió,Ponta Verde,Masculino,Parda,25.0,ESPANCAMENTO,Via Pública,2012-06-11 01:00:00,
1103.0,CVLI,Homicídio,11/06/2012,15:00,São José da Laje,Zona Rural,Masculino,Parda,47.0,PAF,Vegetação,2012-06-11 15:00:00,
1104.0,CVLI,Homicídio,11/06/2012,18:20,Maceió,Santos Dumont,Masculino,Parda,19.0,PAF,Via Pública,2012-06-11 18:20:00,
1105.0,CVLI,Homicídio,11/06/2012,19:40,Arapiraca,Canafístula,Masculino,NI,23.0,PAF,Via Pública,2012-06-11 19:40:00,
1107.0,CVLI,Homicídio,11/06/2012,22:30,Maceió,Rio Novo,Masculino,Parda,14.0,PAF,Via Pública,2012-06-11 22:30:00,
1109.0,CVLI,Homicídio,26/02/2012,02:10,Anadia,Centro,Masculino,Parda,18.0,PAF,Via Pública,2012-02-26 02:10:00,
1110.0,CVLI,Homicídio,27/02/2012,21:00,Atalaia,Zona Rural,Masculino,Parda,16.0,PAF,Via Pública,2012-02-27 21:00:00,
1111.0,CVLI,Homicídio,28/02/2012,23:00,Porto Calvo,Centro,Masculino,NI,25.0,BRANCA,Via Pública,2012-02-28 23:00:00,
1112.0,CVLI,Homicídio,25/02/2012,16:15,Delmiro Gouveia,Centro,Feminino,Parda,22.0,INTOXICAÇÃO,Via Pública,2012-02-25 16:15:00,
1113.0,CVLI,Homicídio,25/02/2012,16:15,Delmiro Gouveia,Centro,Feminino,Parda,22.0,INTOXICAÇÃO,Via Pública,2012-02-25 16:15:00,
1115.0,CVLI,Homicídio,28/02/2012,22:00,Palmeira dos Índios,Centro,Masculino,Parda,50.0,PAF,Via Pública,2012-02-28 22:00:00,
1118.0,CVLI,Homicídio,11/06/2012,00:00,Maceió,Prado,Masculino,Parda,17.0,PAF,Via Pública,2012-06-11 00:00:00,
1120.0,CVLI,Homicídio,12/06/2012,23:00,Maceió,Ponta Grossa,Masculino,Parda,28.0,PAF,Via Pública,2012-06-12 23:00:00,
1122.0,CVLI,Homicídio,06/03/2012,15:00,Viçosa,Zona Rural,Masculino,NI,17.0,PAF,Terreno Baldio,2012-03-06 15:00:00,
1127.0,CVLI,Roubo com Resultado Morte,13/06/2012,21:13,Arapiraca,Brasília,Masculino,Parda,40.0,PAF,Via Pública,2012-06-13 21:13:00,
1129.0,CVLI,Homicídio,13/06/2012,18:30,União dos Palmares,Centro,Masculino,Parda,22.0,PAF,Via Pública,2012-06-13 18:30:00,
1130.0,CVLI,Homicídio,13/06/2012,19:30,Feira Grande,Centro,Masculino,Parda,22.0,PAF,Dentro de Casa,2012-06-13 19:30:00,
1131.0,CVLI,Homicídio,14/06/2012,00:30,Viçosa,Zona Rural,Masculino,Parda,27.0,PAF,Via Pública,2012-06-14 00:30:00,
1133.0,CVLI,Homicídio,09/03/2012,04:50,São José da Tapera,Centro,Masculino,Parda,36.0,BRANCA,Via Pública,2012-03-09 04:50:00,
1135.0,CVLI,Homicídio,13/06/2013,22:00,Arapiraca,Primavera,Masculino,NI,60.0,ESPANCAMENTO,Via Pública,2013-06-13 22:00:00,
1136.0,CVLI,Homicídio,14/06/2012,14:10,Arapiraca,Primavera,Masculino,Parda,16.0,PAF,Via Pública,2012-06-14 14:10:00,
1137.0,CVLI,Homicídio,14/06/2012,23:50,Maceió,Jatiúca,Masculino,Preta,24.0,PAF,Via Pública,2012-06-14 23:50:00,
1138.0,CVLI,Homicídio,03/03/2012,16:00,Viçosa,Centro,Masculino,NI,22.0,PAF,Via Pública,2012-03-03 16:00:00,
1139.0,CVLI,Homicídio,15/06/2012,05:20,Maceió,Jacintinho,Masculino,Parda,22.0,PAF,Via Pública,2012-06-15 05:20:00,
1143.0,CVLI,Homicídio,14/06/2012,10:30,Teotônio Vilela,Centro,Masculino,Parda,18.0,PAF,Via Pública,2012-06-14 10:30:00,
1144.0,CVLI,Homicídio,07/03/2012,00:20,Limoeiro de Anadia,Zona Rural,Masculino,Parda,45.0,PAF,Dentro de Casa,2012-03-07 00:20:00,
1146.0,CVLI,Homicídio,16/06/2012,09:30,Maceió,Cidade Universitária,Masculino,Parda,19.0,PAF,Próximo de Casa,2012-06-16 09:30:00,
1147.0,CVLI,Roubo com Resultado Morte,17/06/2012,20:10,Arapiraca,Manoel Teles,Masculino,Parda,26.0,PAF,Via Pública,2012-06-17 20:10:00,
1148.0,CVLI,Homicídio,16/06/2012,10:00,São Miguel dos Campos,Zona Rural,Masculino,Parda,61.0,PAF,Via Pública,2012-06-16 10:00:00,
1149.0,CVLI,Homicídio,12/03/2012,18:20,Maribondo,Centro,Masculino,Parda,33.0,PAF,Próximo de Casa,2012-03-12 18:20:00,
1150.0,CVLI,Homicídio,13/03/2012,10:00,Atalaia,Zona Rural,Masculino,NI,26.0,PAF,Via Pública,2012-03-13 10:00:00,
1151.0,CVLI,Homicídio,15/03/2012,19:30,Viçosa,Centro,Masculino,Parda,35.0,PAF,Via Pública,2012-03-15 19:30:00,
1152.0,CVLI,Homicídio,16/03/2012,14:30,Anadia,Zona Rural,Masculino,NI,21.0,BRANCA,Via Pública,2012-03-16 14:30:00,
1153.0,CVLI,Roubo com Resultado Morte,16/03/2012,21:25,Palmeira dos Índios,Zona Rural,Masculino,Parda,42.0,PAF,Via Pública,2012-03-16 21:25:00,
1154.0,CVLI,Homicídio,17/03/2012,21:50,Matriz de Camaragibe,Centro,Masculino,NI,24.0,BRANCA,Via Pública,2012-03-17 21:50:00,
1155.0,CVLI,Homicídio,18/03/2012,11:00,Campo Alegre,Zona Rural,Masculino,Parda,57.0,ASFIXIA MECÂNICA,Via Pública,2012-03-18 11:00:00,
1156.0,CVLI,Homicídio,18/03/2012,20:00,Capela,Centro,Masculino,Branca,21.0,BRANCA,Via Pública,2012-03-18 20:00:00,
1157.0,CVLI,Homicídio,18/06/2012,07:45,Arapiraca,Zona Rural Leste,Masculino,NI,19.0,PAF,Vegetação,2012-06-18 07:45:00,
1158.0,CVLI,Homicídio,18/06/2012,07:45,Arapiraca,Zona Rural Leste,Masculino,Parda,18.0,PAF,Vegetação,2012-06-18 07:45:00,
1159.0,CVLI,Homicídio,20/03/2012,20:00,Maceió,Jacintinho,Masculino,NI,16.0,PAF,Via Pública,2012-03-20 20:00:00,
1160.0,CVLI,Homicídio,21/03/2012,00:15,Atalaia,Zona Rural,Masculino,NI,18.0,PAF,Via Pública,2012-03-21 00:15:00,
1161.0,CVLI,Homicídio,21/03/2012,00:15,Atalaia,Zona Rural,Masculino,NI,15.0,PAF,Via Pública,2012-03-21 00:15:00,
1162.0,CVLI,Homicídio,22/03/2012,19:30,Senador Rui Palmeira,Zona Rural,Masculino,NI,26.0,BRANCA,Porta de Casa,2012-03-22 19:30:00,
1163.0,CVLI,Homicídio,23/03/2012,00:01,Maceió,Feitosa,Masculino,NI,31.0,PAF,Via Pública,2012-03-23 00:01:00,
1165.0,CVLI,Homicídio,17/06/2012,11:35,Maceió,Santos Dumont,Masculino,Parda,26.0,PAF,Dentro de Casa,2012-06-17 11:35:00,
1170.0,CVLI,Homicídio,16/06/2012,20:00,Maceió,Tabuleiro do Martins,Masculino,Parda,22.0,PAF,Via Pública,2012-06-16 20:00:00,
1173.0,CVLI,Homicídio,16/06/2012,11:00,Atalaia,Zona Rural,Masculino,NI,16.0,PAF,Cova Rasa,2012-06-16 11:00:00,
1175.0,CVLI,Homicídio,17/06/2012,02:00,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,26.0,PAF,Via Pública,2012-06-17 02:00:00,
1176.0,CVLI,Homicídio,08/04/2012,20:00,Palmeira dos Índios,Centro,Feminino,Branca,31.0,PAF,Dentro de Casa,2012-04-08 20:00:00,
1177.0,CVLI,Homicídio,16/06/2012,18:00,Coruripe,Zona Rural,Masculino,Parda,31.0,BRANCA,Via Pública,2012-06-16 18:00:00,
1178.0,CVLI,Homicídio,16/06/2012,23:50,Coruripe,Zona Rural,Masculino,Parda,20.0,PAF,Via Pública,2012-06-16 23:50:00,
1179.0,CVLI,Homicídio,24/03/2012,20:00,Palmeira dos Índios,Vila Maria,Masculino,Parda,24.0,PAF,Via Pública,2012-03-24 20:00:00,
1180.0,CVLI,Homicídio,25/03/2012,08:40,São Miguel dos Campos,Centro,Masculino,NI,21.0,PAF,Via Pública,2012-03-25 08:40:00,
1181.0,CVLI,Homicídio,07/03/2012,17:50,Olho d Água das Flores,Zona Rural,Masculino,NI,38.0,PAF,Via Pública,2012-03-07 17:50:00,
1182.0,CVLI,Homicídio,10/03/2012,18:00,Maceió,Cidade Universitária,Masculino,Branca,32.0,PAF,Via Pública,2012-03-10 18:00:00,
1183.0,CVLI,Homicídio,18/06/2012,20:30,Coruripe,Centro,Masculino,Parda,19.0,PAF,Dentro de Casa,2012-06-18 20:30:00,
1184.0,CVLI,Homicídio,18/06/2012,23:40,Maceió,Jacintinho,Feminino,Parda,17.0,BRANCA,Via Pública,2012-06-18 23:40:00,
1186.0,CVLI,Homicídio,17/06/2012,21:30,Maceió,Clima Bom,Masculino,Parda,19.0,PAF,Via Pública,2012-06-17 21:30:00,
1187.0,CVLI,Homicídio,18/06/2012,00:30,Maceió,Trapiche da Barra,Masculino,Branca,25.0,PAF,Via Pública,2012-06-18 00:30:00,
1192.0,CVLI,Homicídio,17/06/2012,18:00,Ouro Branco,Zona Rural,Masculino,Parda,59.0,PAF,Próximo de Casa,2012-06-17 18:00:00,
1194.0,CVLI,Homicídio,17/06/2012,23:00,Mata Grande,Zona Rural,Masculino,Parda,19.0,PAF,Via Pública,2012-06-17 23:00:00,
1195.0,CVLI,Homicídio,18/06/2012,17:30,Arapiraca,Sítio Ponto Novo,Masculino,Parda,44.0,PAF,Via Pública,2012-06-18 17:30:00,
1196.0,CVLI,Homicídio,16/06/2012,09:00,Maceió,Trapiche da Barra,Masculino,Parda,24.0,PAF,Lagoa,2012-06-16 09:00:00,
1197.0,CVLI,Homicídio,16/06/2012,09:30,Coruripe,Zona Rural,Masculino,Branca,20.0,PAF,Via Pública,2012-06-16 09:30:00,
1198.0,CVLI,Homicídio,16/06/2012,20:00,Maribondo,Centro,Masculino,Branca,36.0,PAF,Via Pública,2012-06-16 20:00:00,
1199.0,CVLI,Homicídio,16/06/2012,21:00,Maceió,Antares,Masculino,Parda,44.0,PAF,Imediações de Casa,2012-06-16 21:00:00,
