,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO,data_registro,ID_CONTROLE
148.0,CVLI,Homicídio,22/01/2012,08:00,Arapiraca,Zona Rural Leste,Masculino,Parda,34.0,ESPANCAMENTO,Vegetação,2012-01-22 08:00:00,
150.0,CVLI,Homicídio,22/01/2012,11:30,Maceió,Cidade Universitária,Masculino,Parda,28.0,BRANCA,Presídio,2012-01-22 11:30:00,
151.0,CVLI,Homicídio,22/01/2012,17:00,Penedo,Centro,Masculino,Parda,25.0,PAF,Via Pública,2012-01-22 17:00:00,
152.0,CVLI,Homicídio,22/01/2012,20:30,Maceió,Jatiúca,Masculino,Parda,18.0,PAF,Via Pública,2012-01-22 20:30:00,
153.0,CVLI,Homicídio,22/01/2012,20:55,Maceió,Jacintinho,Masculino,NI,27.0,PAF,Via Pública,2012-01-22 20:55:00,
154.0,CVLI,Homicídio,22/01/2012,21:30,Estrela de Alagoas,Zona Rural,Masculino,Parda,32.0,PAF,Bar,2012-01-22 21:30:00,
155.0,CVLI,Homicídio,22/01/2012,22:15,Boca da Mata,Centro,Masculino,Parda,18.0,PAF,Próximo de Casa,2012-01-22 22:15:00,
156.0,CVLI,Homicídio,22/01/2012,23:10,Maceió,Levada,Masculino,NI,22.0,PAF,Via Pública,2012-01-22 23:10:00,
157.0,CVLI,Homicídio,22/01/2012,08:00,Arapiraca,Senador Nilo Coelho,Feminino,Branca,15.0,ESPANCAMENTO,Próximo de Casa,2012-01-22 08:00:00,
158.0,CVLI,Homicídio,22/01/2012,15:00,Rio Largo,Tabuleiro do Pinto,Masculino,NI,17.0,PAF,Via Pública,2012-01-22 15:00:00,
159.0,CVLI,Homicídio,22/01/2012,02:30,Rio Largo,Tabuleiro do Pinto,Masculino,Parda,29.0,PAF,Via Pública,2012-01-22 02:30:00,
160.0,CVLI,Lesão Corporal Seguida de Morte,21/01/2012,11:00,Maceió,Jacintinho,Masculino,Branca,29.0,PAF,Via Pública,2012-01-21 11:00:00,
161.0,CVLI,Homicídio,23/01/2012,02:30,Marechal Deodoro,Centro,Masculino,Parda,23.0,PAF,Via Pública,2012-01-23 02:30:00,
162.0,CVLI,Homicídio,23/01/2012,05:00,Palmeira dos Índios,Zona Rural,Masculino,Parda,30.0,PAF,Via Pública,2012-01-23 05:00:00,
163.0,CVLI,Homicídio,23/01/2012,09:05,Maceió,Clima Bom,Masculino,Preta,5.0,ESPANCAMENTO,Terreno Baldio,2012-01-23 09:05:00,
164.0,CVLI,Homicídio,23/01/2012,12:40,Maceió,Poço,Masculino,Parda,36.0,PAF,Porta de Casa,2012-01-23 12:40:00,
166.0,CVLI,Homicídio,23/01/2012,17:25,Maceió,Pescaria,Feminino,Branca,25.0,PAF,Via Pública,2012-01-23 17:25:00,
52646.0,CVLI,Homicídio,01/04/2023,21:36,Maceió,Benedito Bentes,Masculino,Branca,20.0,PAF,Via Pública,2023-04-01 21:36:00,
168.0,CVLI,Homicídio,24/01/2012,17:30,Maceió,Feitosa,Masculino,NI,17.0,PAF,Via Pública,2012-01-24 17:30:00,
169.0,CVLI,Homicídio,24/01/2012,20:30,Murici,Centro,Masculino,Parda,32.0,PAF,Dentro de Casa,2012-01-24 20:30:00,
170.0,CVLI,Homicídio,25/01/2012,05:00,Maceió,Bom Parto,Masculino,Preta,28.0,PAF,Dentro de Casa,2012-01-25 05:00:00,
171.0,CVLI,Homicídio,25/01/2012,10:45,Maceió,Tabuleiro do Martins,Masculino,NI,18.0,PAF,Próximo de Casa,2012-01-25 10:45:00,
172.0,CVLI,Homicídio,25/01/2012,12:35,Maceió,Farol,Masculino,NI,13.0,PAF,Via Pública,2012-01-25 12:35:00,
173.0,CVLI,Homicídio,25/01/2012,15:30,Arapiraca,Brasiliana,Masculino,Parda,38.0,PAF,Porta de Casa,2012-01-25 15:30:00,
174.0,CVLI,Homicídio,25/01/2012,14:30,Pilar,Chã do Pilar,Masculino,Parda,21.0,PAF,Próximo de Casa,2012-01-25 14:30:00,
175.0,CVLI,Homicídio,25/01/2012,20:10,Atalaia,Zona Rural,Masculino,NI,22.0,PAF,Via Pública,2012-01-25 20:10:00,
176.0,CVLI,Homicídio,26/01/2012,19:40,Maceió,Levada,Masculino,Parda,16.0,PAF,Via Pública,2012-01-26 19:40:00,
177.0,CVLI,Homicídio,26/01/2012,21:00,Maceió,Pajuçara,Masculino,NI,53.0,PAF,Próximo de Casa,2012-01-26 21:00:00,
178.0,CVLI,Homicídio,27/01/2012,02:40,São Miguel dos Campos,Centro,Masculino,Parda,37.0,PAF/B,Via Pública,2012-01-27 02:40:00,
179.0,CVLI,Homicídio,27/01/2012,04:30,Dois Riachos,Centro,Masculino,Branca,19.0,ESPANCAMENTO,Local Público,2012-01-27 04:30:00,
181.0,CVLI,Homicídio,27/01/2012,19:30,Maceió,Ponta Grossa,Masculino,Preta,23.0,PAF,Via Pública,2012-01-27 19:30:00,
182.0,CVLI,Homicídio,27/01/2012,23:30,Maceió,Bom Parto,Masculino,NI,20.0,PAF,Via Pública,2012-01-27 23:30:00,
