D_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
76,CVLI,Homicídio,08/01/2012,10:20,Maceió,Jacintinho,Masculino,Parda,32,PAF,Terreno Baldio
77,CVLI,Homicídio,08/01/2012,13:40,Arapiraca,Boa Vista,Masculino,NI,31,PAF,Próximo de Casa
78,CVLI,Homicídio,08/01/2012,19:00,Água Branca,Zona Rural,Masculino,NI,27,BRANCA,Imediações de Casa
79,CVLI,Homicídio,08/01/2012,19:50,Maceió,Tabuleiro do Martins,Masculino,Parda,17,PAF,Próximo de Casa
80,CVLI,Homicídio,08/01/2012,20:00,União dos Palmares,Centro,Masculino,Parda,17,PAF,Via Pública
81,CVLI,Homicídio,08/01/2012,20:00,União dos Palmares,Centro,Masculino,NI,21,PAF,Via Pública
82,CVLI,Homicídio,08/01/2012,21:00,Chã Preta,Zona Rural,Masculino,Parda,24,BRANCA,Via Pública
83,CVLI,Homicídio,08/01/2012,22:30,Rio Largo,Centro,Masculino,Parda,18,PAF,Imediações de Casa
84,CVLI,Homicídio,09/01/2012,02:10,Maceió,Tabuleiro do Martins,Masculino,NI,25,PAF,Via Pública
85,CVLI,Homicídio,09/01/2012,05:30,Campo Grande,Zona Rural,Masculino,Parda,22,PAF,Via Pública
86,CVLI,Homicídio,09/01/2012,13:15,Maceió,Tabuleiro do Martins,Masculino,NI,26,PAF,Dentro de Casa
87,CVLI,Lesão Corporal Seguida de Morte,09/01/2012,15:00,Palmeira dos Índios,Zona Rural,Masculino,Parda,62,ESPANCAMENTO,Local Público
88,CVLI,Homicídio,09/01/2012,17:00,Maceió,Pontal da Barra,Feminino,NI,23,ESPANCAMENTO,Terreno Baldio
89,CVLI,Homicídio,10/01/2012,11:00,Maceió,Feitosa,Masculino,NI,19,PAF,Via Pública
90,CVLI,Homicídio,10/01/2012,10:00,Maceió,Tabuleiro do Martins,Masculino,NI,61,ESPANCAMENTO,Dentro de Casa
91,CVLI,Homicídio,10/01/2012,15:00,Marechal Deodoro,Zona Rural,Masculino,Parda,24,PAF,Margem da Lagoa
92,CVLI,Homicídio,10/01/2012,18:00,Santana do Ipanema,Centro,Masculino,Parda,24,PAF,Dentro de Casa
93,CVLI,Homicídio,10/01/2012,20:30,Maceió,Levada,Masculino,Parda,47,PAF,Via Pública
94,CVLI,Homicídio,11/01/2012,08:00,Delmiro Gouveia,Zona Rural,Masculino,NI,28,ESPANCAMENTO,Vegetação
95,CVLI,Homicídio,11/01/2012,10:00,Viçosa,Zona Rural,Masculino,Parda,28,PAF,Via Pública
96,CVLI,Homicídio,11/01/2012,10:55,Maceió,Tabuleiro do Martins,Masculino,Branca,44,PAF,Estabelecimento Comercial
97,CVLI,Homicídio,11/01/2012,23:30,Delmiro Gouveia,Centro,Masculino,Parda,32,ESPANCAMENTO,Via Pública
98,CVLI,Homicídio,12/01/2012,12:00,Rio Largo,Centro,Masculino,NI,42,PAF,Via Pública
99,CVLI,Homicídio,12/01/2012,12:00,Rio Largo,Centro,Masculino,NI,28,PAF,Via Pública
