ID_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
1857,CVLI,Homicídio,18/06/2012,21:30,Maceió,Benedito Bentes,Masculino,Parda,26,BRANCA,Via Pública
1982,CVLI,Homicídio,18/09/2012,05:10,Maceió,Benedito Bentes,Masculino,Parda,20,PAF,Via Pública
1756,CVLI,Homicídio,18/08/2012,18:40,Maceió,Benedito Bentes,Masculino,Branca,27,PAF,Imediações de Casa
1546,CVLI,Homicídio,20/07/2012,15:30,Maceió,Vergel do Lago,Masculino,Parda,16,PAF,Margem da Lagoa
1547,CVLI,Homicídio,20/07/2012,15:00,Maceió,Benedito Bentes,Feminino,Branca,18,PAF,Dentro de Casa
1508,CVLI,Homicídio,24/07/2012,22:20,Maceió,Benedito Bentes,Masculino,Parda,18,PAF,Imediações de Casa
1630,CVLI,Homicídio,04/08/2012,22:50,Maceió,Benedito Bentes,Masculino,Branca,29,PAF,Imediações de Casa
1379,CVLI,Homicídio,08/07/2012,16:15,Maceió,Vergel do Lago,Masculino,Parda,33,BRANCA,Próximo de Casa
3473,CVLI,Homicídio,08/02/2013,10:14,Maceió,Benedito Bentes,Masculino,NI,NI,PAF,Vegetação
3474,CVLI,Homicídio,07/02/2013,20:14,Maceió,Benedito Bentes,Masculino,Parda,23,PAF,Imediações de Casa
3812,CVLI,Homicídio,21/03/2013,18:30,Maceió,Benedito Bentes,Masculino,Parda,19,PAF,Imediações de Casa
2327,CVLI,Homicídio,11/10/2012,19:06,Maceió,Benedito Bentes,Masculino,Preta,16,PAF,Próximo de Casa
2407,CVLI,Homicídio,16/10/2012,20:40,Maceió,Benedito Bentes,Masculino,Branca,20,PAF,Via Pública
2355,CVLI,Homicídio,13/10/2012,23:00,Maceió,Benedito Bentes,Masculino,Parda,26,PAF,Próximo de Casa
2364,CVLI,Homicídio,13/10/2012,15:56,Maceió,Benedito Bentes,Masculino,Branca,19,PAF,Via Pública
2368,CVLI,Homicídio,13/10/2012,13:00,Maceió,Vergel do Lago,Masculino,Parda,22,ESPANCAMENTO,Imediações de Casa
2196,CVLI,Homicídio,25/09/2012,18:30,Maceió,Vergel do Lago,Masculino,Parda,22,PAF,Porta de Casa
2157,CVLI,Homicídio,06/10/2012,18:55,Maceió,Vergel do Lago,Masculino,Parda,13,PAF,Via Pública
2321,CVLI,Homicídio,25/10/2012,21:30,Maceió,Benedito Bentes,Masculino,Parda,16,PAF,Via Pública
2076,CVLI,Homicídio,23/09/2012,17:15,Maceió,Vergel do Lago,Masculino,Parda,23,PAF,Próximo de Casa
2220,CVLI,Homicídio,28/10/2012,07:00,Maceió,Vergel do Lago,Masculino,Parda,23,PAF,Próximo de Casa
2107,CVLI,Homicídio,30/09/2012,22:00,Maceió,Benedito Bentes,Masculino,Parda,26,PAF,Via Pública
2264,CVLI,Homicídio,17/10/2012,14:00,Maceió,Vergel do Lago,Masculino,NI,18,PAF,Via Pública
2112,CVLI,Homicídio,02/10/2012,20:05,Maceió,Vergel do Lago,Masculino,Parda,17,PAF,Via Pública
2233,CVLI,Homicídio,29/10/2012,05:26,Maceió,Benedito Bentes,Masculino,Parda,41,PAF,Próximo de Casa
2117,CVLI,Homicídio,05/10/2012,21:50,Maceió,Vergel do Lago,Masculino,Parda,25,PAF,Imediações de Casa
2234,CVLI,Homicídio,29/10/2012,12:00,Maceió,Vergel do Lago,Masculino,Parda,17,PAF,Lagoa
2292,CVLI,Homicídio,20/10/2012,23:00,Maceió,Benedito Bentes,Masculino,Parda,21,PAF,Via Pública
2911,CVLI,Homicídio,20/12/2012,12:40,Maceió,Vergel do Lago,Masculino,Parda,24,PAF,Via Pública
3600,CVLI,Homicídio,18/02/2013,17:00,Maceió,Benedito Bentes,Masculino,Parda,19,PAF,Imediações de Casa
2638,CVLI,Homicídio,20/11/2012,17:20,Maceió,Benedito Bentes,Masculino,Branca,15,PAF,Imediações de Casa
3575,CVLI,Homicídio,14/02/2013,22:59,Maceió,Benedito Bentes,Masculino,Preta,49,PAF,Dentro de Casa
2968,CVLI,Homicídio,25/12/2012,20:44,Maceió,Benedito Bentes,Masculino,Parda,30,PAF,Local Público
2561,CVLI,Homicídio,18/11/2012,11:35,Maceió,Vergel do Lago,Masculino,Parda,28,PAF,Imediações de Casa
2883,CVLI,Homicídio,17/12/2012,11:19,Maceió,Vergel do Lago,Masculino,Parda,58,PAF,Dentro de Casa
3160,CVLI,Homicídio,12/01/2013,17:18,Maceió,Benedito Bentes,Masculino,Parda,20,PAF,Via Pública
2505,CVLI,Homicídio,10/11/2012,08:42,Maceió,Benedito Bentes,Masculino,Parda,26,PAF,Próximo de Casa
2830,CVLI,Homicídio,11/12/2012,20:00,Maceió,Benedito Bentes,Masculino,Branca,16,PAF,Imediações de Casa
2534,CVLI,Homicídio,14/11/2012,12:00,Maceió,Vergel do Lago,Masculino,Parda,54,PAF,Bar
2551,CVLI,Homicídio,17/11/2012,18:45,Maceió,Vergel do Lago,Masculino,Parda,25,PAF,Dentro de Casa
2840,CVLI,Homicídio,11/12/2012,00:00,Maceió,Vergel do Lago,Masculino,Parda,21,PAF,Imediações de Casa
2841,CVLI,Homicídio,11/12/2012,00:00,Maceió,Vergel do Lago,Masculino,Parda,17,PAF,Imediações de Casa
2847,CVLI,Homicídio,14/12/2012,20:50,Maceió,Benedito Bentes,Masculino,Parda,18,BRANCA,Via Pública
3787,CVLI,Homicídio,04/03/2013,00:30,Maceió,Benedito Bentes,Masculino,Parda,19,PAF,Local de Trabalho
5111,CVLI,Homicídio,01/07/2013,20:11,Maceió,Vergel do Lago,Masculino,Parda,21,PAF,Próximo de Casa
3381,CVLI,Homicídio,27/01/2013,01:20,Maceió,Vergel do Lago,Masculino,Parda,30,PAF,Via Pública
3405,CVLI,Homicídio,01/02/2013,09:30,Maceió,Vergel do Lago,Masculino,Branca,33,PAF,Via Pública
3410,CVLI,Homicídio,02/02/2013,18:41,Maceió,Vergel do Lago,Masculino,Parda,24,PAF,Bar
2772,CVLI,Homicídio,08/12/2012,00:30,Maceió,Vergel do Lago,Masculino,Parda,16,PAF,Via Pública
2786,CVLI,Homicídio,08/12/2012,19:30,Maceió,Benedito Bentes,Masculino,Parda,16,PAF,Imediações de Casa
2991,CVLI,Homicídio,01/01/2013,13:00,Maceió,Vergel do Lago,Masculino,Parda,21,PAF,Via Pública
3286,CVLI,Homicídio,27/01/2013,08:38,Maceió,Vergel do Lago,Masculino,Parda,40,PAF,Via Pública
3364,CVLI,Homicídio,23/01/2013,06:51,Maceió,Vergel do Lago,Masculino,Parda,51,PAF,Via Pública
3641,CVLI,Homicídio,22/02/2013,04:00,Maceió,Benedito Bentes,Feminino,Branca,35,BRANCA,Plantação
3656,CVLI,Homicídio,22/02/2013,20:40,Maceió,Benedito Bentes,Masculino,Parda,21,PAF,Via Pública
2726,CVLI,Homicídio,02/12/2012,13:00,Maceió,Vergel do Lago,Masculino,Parda,23,PAF,Próximo de Casa
2713,CVLI,Homicídio,01/12/2012,21:23,Maceió,Vergel do Lago,Masculino,Parda,20,PAF,Imediações de Casa
4909,CVLI,Homicídio,14/06/2013,17:45,Maceió,Benedito Bentes,Masculino,Parda,18,PAF,Imediações de Casa
3917,CVLI,Homicídio,16/03/2013,00:22,Maceió,Vergel do Lago,Masculino,Parda,46,PAF,Dentro de Casa
3944,CVLI,Homicídio,17/03/2013,07:00,Maceió,Benedito Bentes,Masculino,Parda,17,PAF/B,Imediações de Casa
3924,CVLI,Homicídio,16/03/2013,16:14,Maceió,Benedito Bentes,Masculino,Preta,33,PAF,Grota
4221,CVLI,Homicídio,11/04/2013,10:43,Maceió,Vergel do Lago,Masculino,Parda,19,PAF,Imediações de Casa
3932,CVLI,Homicídio,16/03/2013,23:30,Maceió,Benedito Bentes,Masculino,Parda,49,PAF,Via Pública
3956,CVLI,Homicídio,16/03/2013,23:40,Maceió,Benedito Bentes,Masculino,Parda,21,BRANCA,Via Pública
4562,CVLI,Homicídio,13/05/2013,14:00,Maceió,Benedito Bentes,Masculino,Parda,50,PAF,Via Pública
4865,CVLI,Homicídio,11/06/2013,23:07,Maceió,Vergel do Lago,Masculino,Parda,21,PAF,Porta de Casa
3820,CVLI,Homicídio,13/03/2013,23:30,Maceió,Benedito Bentes,Masculino,Parda,38,PAF,Via Pública
4171,CVLI,Homicídio,05/04/2013,12:30,Maceió,Vergel do Lago,Masculino,Parda,36,PAF,Via Pública
4210,CVLI,Homicídio,10/04/2013,18:10,Maceió,Benedito Bentes,Masculino,Parda,17,PAF,Imediações de Casa
4495,CVLI,Homicídio,06/05/2013,01:00,Maceió,Benedito Bentes,Masculino,Parda,16,BRANCA,Imediações de Casa
4510,CVLI,Homicídio,07/05/2013,19:21,Maceió,Benedito Bentes,Masculino,Parda,16,PAF,Dentro de Casa
4820,CVLI,Homicídio,30/05/2013,16:00,Maceió,Benedito Bentes,Masculino,Parda,18,PAF,Via Pública
4828,CVLI,Homicídio,06/06/2013,20:12,Maceió,Benedito Bentes,Masculino,Parda,22,PAF,Imediações de Casa
4082,CVLI,Homicídio,28/03/2013,19:40,Maceió,Benedito Bentes,Masculino,Parda,32,PAF,Imediações de Casa
4094,CVLI,Homicídio,29/03/2013,11:45,Maceió,Benedito Bentes,Masculino,Parda,39,PAF,Imediações de Casa
5735,CVLI,Homicídio,01/09/2013,17:15,Maceió,Vergel do Lago,Masculino,Parda,47,PAF,Imediações de Casa
4437,CVLI,Homicídio,28/04/2013,08:38,Maceió,Vergel do Lago,Masculino,Branca,32,PAF,Imediações de Casa
4719,CVLI,Homicídio,27/05/2013,18:41,Maceió,Benedito Bentes,Masculino,Parda,18,PAF,Imediações de Casa
4721,CVLI,Homicídio,27/05/2013,21:01,Maceió,Benedito Bentes,Masculino,Parda,38,PAF,Próximo de Casa
3999,CVLI,Homicídio,23/03/2013,10:57,Maceió,Vergel do Lago,Masculino,Parda,17,PAF,Imediações de Casa
4002,CVLI,Homicídio,23/03/2013,19:50,Maceió,Benedito Bentes,Masculino,Parda,37,PAF,Próximo de Casa
4039,CVLI,Homicídio,23/03/2013,03:00,Maceió,Benedito Bentes,Masculino,Parda,34,BRANCA,Imediações de Casa
4011,CVLI,Homicídio,24/03/2013,21:39,Maceió,Benedito Bentes,Masculino,Parda,20,PAF,Próximo de Casa
4332,CVLI,Homicídio,19/04/2013,12:47,Maceió,Benedito Bentes,Masculino,Parda,35,PAF,Dentro de Casa
4287,CVLI,Homicídio,14/04/2013,14:50,Maceió,Vergel do Lago,Masculino,Parda,17,PAF,Imediações de Casa
4342,CVLI,Homicídio,20/04/2013,22:00,Maceió,Vergel do Lago,Masculino,Parda,20,PAF/B,Imediações de Casa
4296,CVLI,Homicídio,13/04/2013,19:06,Maceió,Vergel do Lago,Masculino,Parda,44,BRANCA,Via Pública
4344,CVLI,Homicídio,20/04/2013,23:30,Maceió,Benedito Bentes,Masculino,Parda,26,PAF,Imediações de Casa
4345,CVLI,Homicídio,21/04/2013,01:00,Maceió,Benedito Bentes,Masculino,Parda,20,PAF,Imediações de Casa
5240,CVLI,Homicídio,14/07/2013,11:30,Maceió,Vergel do Lago,Masculino,Parda,19,PAF,Próximo de Casa
5504,CVLI,Homicídio,12/08/2013,15:15,Maceió,Benedito Bentes,Masculino,Parda,17,PAF,Dentro de Casa
5233,CVLI,Homicídio,13/07/2013,18:00,Maceió,Vergel do Lago,Masculino,Parda,24,PAF,Próximo de Casa
5524,CVLI,Homicídio,11/08/2013,21:25,Maceió,Vergel do Lago,Masculino,Parda,17,PAF,Dentro de Casa
6136,CVLI,Homicídio,11/10/2013,00:01,Maceió,Vergel do Lago,Masculino,Parda,32,PAF,Próximo de Casa
5781,CVLI,Homicídio,01/09/2013,00:30,Maceió,Benedito Bentes,Masculino,Parda,22,BRANCA,Imediações de Casa
6159,CVLI,Homicídio,11/10/2013,11:20,Maceió,Vergel do Lago,Masculino,Parda,27,PAF,Via Pública
6171,CVLI,Homicídio,14/10/2013,01:40,Maceió,Vergel do Lago,Masculino,Parda,21,BRANCA,Via Pública
5219,CVLI,Homicídio,13/05/2013,23:21,Maceió,Vergel do Lago,Masculino,Parda,16,PAF,Via Pública
5448,CVLI,Homicídio,03/08/2013,23:11,Maceió,Benedito Bentes,Masculino,Branca,18,PAF,Local Público
5450,CVLI,Homicídio,07/08/2013,21:40,Maceió,Benedito Bentes,Masculino,Parda,29,PAF,Dentro de Casa
5451,CVLI,Homicídio,07/08/2013,21:40,Maceió,Benedito Bentes,Masculino,Parda,28,PAF,Dentro de Casa
5751,CVLI,Homicídio,02/09/2013,19:45,Maceió,Vergel do Lago,Masculino,Parda,18,PAF,Próximo de Casa
6057,CVLI,Homicídio,04/10/2013,19:07,Maceió,Vergel do Lago,Masculino,Parda,18,PAF,Imediações de Casa
6070,CVLI,Homicídio,05/10/2013,19:30,Maceió,Vergel do Lago,Masculino,Parda,26,PAF,Porta de Casa
6024,CVLI,Homicídio,02/10/2013,08:00,Maceió,Benedito Bentes,Feminino,Parda,4,ASFIXIA MECÂNICA,Dentro de Casa
6082,CVLI,Homicídio,06/10/2013,18:30,Maceió,Benedito Bentes,Masculino,Parda,52,PAF,Porta de Casa
6275,CVLI,Homicídio,24/10/2013,20:00,Maceió,Benedito Bentes,Masculino,Parda,26,PAF,Próximo de Casa
5710,CVLI,Homicídio,29/08/2013,15:00,Maceió,Benedito Bentes,Masculino,Parda,18,PAF,Imediações de Casa
5653,CVLI,Homicídio,24/08/2013,19:30,Maceió,Benedito Bentes,Feminino,Parda,31,ESPANCAMENTO,Porta de Casa
5995,CVLI,Homicídio,29/09/2013,02:15,Maceió,Vergel do Lago,Masculino,Parda,29,PAF,Imediações de Casa
5996,CVLI,Homicídio,29/09/2013,02:20,Maceió,Vergel do Lago,Masculino,Parda,26,BRANCA,Local Público
5960,CVLI,Homicídio,26/09/2013,15:02,Maceió,Benedito Bentes,Masculino,Parda,25,BRANCA,Plantação
5980,CVLI,Homicídio,26/09/2013,23:40,Maceió,Benedito Bentes,Masculino,Parda,32,BRANCA,Próximo de Casa
6005,CVLI,Homicídio,29/09/2013,05:40,Maceió,Vergel do Lago,Masculino,Parda,39,PAF,Imediações de Casa
6327,CVLI,Homicídio,28/10/2013,19:15,Maceió,Benedito Bentes,Masculino,Parda,16,PAF,Via Pública
5919,CVLI,Homicídio,22/09/2013,18:20,Maceió,Benedito Bentes,Masculino,Parda,18,PAF,Via Pública
6247,CVLI,Homicídio,21/10/2013,15:30,Maceió,Vergel do Lago,Masculino,NI,22,PAF,Imediações de Casa
6216,CVLI,Homicídio,19/10/2013,18:15,Maceió,Benedito Bentes,Masculino,Parda,35,PAF,Imediações de Casa
5330,CVLI,Homicídio,19/07/2013,18:00,Maceió,Benedito Bentes,Masculino,Parda,51,PAF,Estabelecimento Comercial
5589,CVLI,Roubo com Resultado Morte,16/08/2013,14:40,Maceió,Vergel do Lago,Masculino,Parda,20,PAF,Via Pública
5887,CVLI,Homicídio,17/09/2013,10:20,Maceió,Benedito Bentes,Masculino,Parda,17,ESPANCAMENTO,Dentro de Casa
5618,CVLI,Homicídio,19/08/2013,18:40,Maceió,Benedito Bentes,Masculino,Parda,16,PAF/B,Via Pública
5643,CVLI,Homicídio,23/08/2013,10:00,Maceió,Benedito Bentes,Masculino,Branca,36,PAF,Imediações de Casa
5904,CVLI,Homicídio,20/09/2013,18:23,Maceió,Benedito Bentes,Masculino,Parda,35,PAF/B,Porta de Casa
5932,CVLI,Homicídio,23/09/2013,12:00,Maceió,Vergel do Lago,Masculino,Parda,24,PAF,Via Pública
6196,CVLI,Homicídio,14/10/2013,19:00,Maceió,Benedito Bentes,Masculino,Parda,24,PAF,Via Pública
6519,CVLI,Homicídio,09/11/2013,19:42,Maceió,Vergel do Lago,Masculino,Parda,48,PAF,Via Pública
6758,CVLI,Homicídio,03/12/2013,13:00,Maceió,Vergel do Lago,Masculino,Parda,14,PAF,Via Pública
6819,CVLI,Homicídio,07/12/2013,19:40,Maceió,Benedito Bentes,Feminino,Parda,23,PAF,Via Pública
6767,CVLI,Homicídio,10/02/2012,21:17,Maceió,Benedito Bentes,Masculino,NI,NI,PAF,Via Pública
6804,CVLI,Homicídio,06/12/2013,20:30,Maceió,Benedito Bentes,Masculino,Parda,49,PAF,Imediações de Casa
7070,CVLI,Homicídio,25/12/2013,03:00,Maceió,Vergel do Lago,Masculino,Parda,27,PAF,Via Pública
